formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,cbm,vbm
AlZnH16N(OF)6,5.4816,-1.700828806774194,0.003192610564513,1080.4916668758954,2.044060810099233,124.0,3.4162,-2.0654
AlZnH4O2F5,4.82095,-2.3234680128846152,0.057965230961537,262.98076159690174,2.8272896274402113,26.0,3.1231,-1.69785
As2W2O11,3.336,-1.8648419474999984,0.030455083333334,916.3202052191856,5.027113452595484,60.0,2.6651,-0.6709
As2WO7,3.0777,-1.756267006249999,0.071792919625004,712.0941622782304,4.157132187661784,40.0,2.3535,-0.7242000000000001
B2Pb6WO12,2.56,-1.9919247153968231,0.001801913526787,737.2645702789724,7.390485044395767,42.0,5.5628,3.0028
BSbPbS4,2.1522,-0.6995956877380931,0.0,352.5251328192496,4.409238874201632,14.0,5.1875,3.0353
Ba(BiS2)2,1.11855,-1.1729301791269822,0.0050911110317435,2065.714721891375,5.787098917589208,73.5,4.527950000000001,3.4093999999999998
Ba(CuS)2,0.7019999999999995,-1.1234639012499938,0.0031176067499975,242.15639240340462,5.644782790604564,12.5,5.936999999999999,5.234999999999999
Ba(SbS2)2,1.5472,-1.120472408749996,0.0,1539.5412713964795,4.392955633142289,56.0,5.3093,3.7621
Ba10LiW7O30,1.526,-2.7072173973611102,0.065313730078116,752.6253868529204,6.943477795498952,48.0,4.1313,2.6053
Ba10Ru3W(Cl2O9)2,0.060599999999999,-2.593378885277777,0.017132229768509,773.1696557271737,4.91850099351386,36.0,2.6821,2.6215
Ba11W4O23,1.3207499999999994,-2.7528475569736837,0.11328646690786301,1389.9780594108393,6.2456480675655435,76.0,4.3950499999999995,3.0743
Ba13Dy8Zn4Pt4O37,2.1902,-2.83470902891414,0.0,1034.4948278673364,7.575115003411997,66.0,4.8559,2.6657
Ba17Dy16Zn8Pt4O57,2.2327,-2.987297528937907,0.003275962124193,1545.099038279487,7.684345502537533,102.0,4.9215,2.6888
Ba17Er16Zn8Pt4O57,2.249399999999999,-3.003902968480391,0.0,1522.1704061125731,7.883161362406491,102.0,4.8972,2.6478
Ba17Ho16Zn8Pt4O57,2.242199999999999,-2.994306925637253,0.0,1533.3909107070676,7.785128386565732,102.0,4.8698,2.6276
Ba17Tm16Zn8Pt4O57,2.2625,-3.014212638284315,0.0,1509.9731111187884,7.976316180847464,102.0,4.8658,2.6033
Ba17Y16Zn8Pt4O57,2.223799999999999,-2.962589080147059,0.0,1551.248882923806,6.3934160253597785,102.0,4.9234,2.6996
Ba2BiWO6,1.960399999999999,-2.490761532999999,0.078647047249988,652.0884328983368,7.776694237457859,40.0,5.9262,3.965799999999999
